Číslo;Druh/počet záznamů;Nálezů;Zastoupení (%);
328;Circaea lutetiana - čarovník pařížský;20073;,07;
329;Astragalus glycyphyllos - kozinec sladkolistý;19934;,07;
330;Corvus corone - vrána černá;19882;,07;
331;Gonepteryx rhamni - žluťásek řešetlákový;19807;,07;
332;Sanicula europaea - žindava evropská;19798;,07;
333;Glyceria maxima - zblochan vodní;19766;,07;
334;Betonica officinalis - bukvice lékařská;19635;,07;
335;Corvus cornix - vrána šedá;19610;,07;
336;Regulus ignicapilla - králíček ohnivý;19539;,07;
337;Carex hirta - ostřice srstnatá;19498;,07;
338;Dactylorhiza majalis - prstnatec májový;19356;,07;
339;Serinus serinus - zvonohlík zahradní;19308;,07;
340;Cardamine pratensis - řeřišnice luční;19282;,07;
341;Phoenicurus phoenicurus - rehek zahradní;19267;,07;
342;Carex echinata - ostřice ježatá;19248;,07;
343;Gymnocarpium dryopteris - bukovník kapraďovitý;19157;,07;
344;Sphagnum sp.;19042;,07;
345;Primula veris - prvosenka jarní;18971;,07;
346;Lysimachia nemorum - vrbina hajní;18853;,07;
347;Myotis myotis - netopýr velký;18788;,07;
348;Galium sylvaticum - svízel lesní;18754;,07;
349;Linaria cannabina - konopka obecná;18731;,07;
350;Veronica beccabunga - rozrazil potoční;18503;,06;
351;Lilium martagon - lilie zlatohlavá;18489;,06;
352;Colchicum autumnale - ocún jesenní;18456;,06;
353;Columba oenas - holub doupňák;18355;,06;
354;Bucephala clangula - hohol severní;18333;,06;
355;Luscinia megarhynchos - slavík obecný;18278;,06;
356;Polypodium vulgare - osladič obecný;18262;,06;
357;Chelidonium majus - vlaštovičník větší;18093;,06;
358;Avenula pubescens - ovsíř pýřitý;17996;,06;
359;Hieracium lachenalii - jestřábník Lachenalův;17983;,06;
360;Aegithalos caudatus - mlynařík dlouhoocasý;17912;,06;
361;Polygonatum verticillatum - kokořík přeslenitý;17894;,06;
362;Lacerta agilis - ještěrka obecná;17846;,06;
363;Ficedula albicollis - lejsek bělokrký;17797;,06;
364;Certhia familiaris - šoupálek dlouhoprstý;17687;,06;
365;Paris quadrifolia - vraní oko čtyřlisté;17678;,06;
366;Epilobium palustre - vrbovka bahenní;17623;,06;
367;Strix aluco - puštík obecný;17572;,06;
